Name,Value,,,,,,,,,,,,,,,
User,Administrator,,,,,,,,,,,,,,,
Creation Time,01/20/2016 13:39:14 EST,,,,,,,,,,,,,,,
Read Time,01/20/2016 13:40:36 EST,,,,,,,,,,,,,,,
Layout,Standard,,,,,,,,,,,,,,,
Type,96 Multi-Spot 4,,,,,,,,,,,,,,,
Wells Per Row,12,,,,,,,,,,,,,,,
Wells Per Col,8,,,,,,,,,,,,,,,
Spots Per Well,4,,,,,,,,,,,,,,,
Stack ID,0,,,,,,,,,,,,,,,
Barcode1,25E5MAPB94,,,,,,,,,,,,,,,
Barcode2,N/A,,,,,,,,,,,,,,,
Barcode3,N/A,,,,,,,,,,,,,,,
Plate #,N/A,,,,,,,,,,,,,,,
Model,Model1300,,,,,,,,,,,,,,,
Serial #,1.30013E+12,,,,,,,,,,,,,,,
Version,4.0.12 (LSR_4_0_12),,,,,,,,,,,,,,,
Orient,0,,,,,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Experiment_2016-01-20-134111: Experiment Data Table,,,,,,,,,,,,,,,,
Plate Name,Sample,Assay,Well,Spot,Dilution,Concentration,Signal,Adjusted Signal,Mean,Adj. Sig. Mean,CV,% Recovery,% Recovery Mean,Calc. Concentration,Calc. Conc. Mean,Calc. Conc. CV
Plate_25E5MAPB94,U006,Adiponectin,B03,1,1,,21825,21825,21047,21047,5.227624609,,,12.69077363,12.20311302,5.651478005
Plate_25E5MAPB94,U007,Adiponectin,B06,1,1,,15853,15853,16223,16223,3.225414646,,,8.979670674,9.207120557,3.493629809
Plate_25E5MAPB94,U007,Adiponectin,B05,1,1,,16593,16593,16223,16223,3.225414646,,,9.434570439,9.207120557,3.493629809
Plate_25E5MAPB94,U008,Adiponectin,B08,1,1,,17668,17668,18292,18292,4.824345413,,,10.09803186,10.48502119,5.219689615
Plate_25E5MAPB94,U008,Adiponectin,B07,1,1,,18916,18916,18292,18292,4.824345413,,,10.87201052,10.48502119,5.219689615
Plate_25E5MAPB94,U009,Adiponectin,B10,1,1,,16943,16943,17407,17407,3.769719612,,,9.65024464,9.936951238,4.080369831
Plate_25E5MAPB94,U009,Adiponectin,B09,1,1,,17871,17871,17407,17407,3.769719612,,,10.22365784,9.936951238,4.080369831
Plate_25E5MAPB94,U010,Adiponectin,B12,1,1,,44195,44195,44875,44874.5,2.141434703,,,27.23236567,27.68763643,2.325406423
Plate_25E5MAPB94,U010,Adiponectin,B11,1,1,,45554,45554,44875,44874.5,2.141434703,,,28.14290718,27.68763643,2.325406423
Plate_25E5MAPB94,U011,Adiponectin,C04,1,1,,19717,19717,19998,19998,1.987168772,,,11.37081021,11.54625641,2.148907649
Plate_25E5MAPB94,U011,Adiponectin,C03,1,1,,20279,20279,19998,19998,1.987168772,,,11.7217026,11.54625641,2.148907649
